Filename,File Type,Pixel Type,Number of Series,Number of Channels,Size X (px),Size Y (px),Size Z (px),Voxel X (um),Voxel Y (um),Voxel Z (um),Physical Size X (um),Physical Size Y (um),Physical Size Z (um),ppm
1_1_Embryo_1_end_of_nc12-gastrulation.czi,czi,uint16,1,2,1024,1024,10,0.194976806640625,0.194976806640625,2.23,199.65625,199.65625,22.3,5.128815151040851
2_2_Time_course_nc10_or_11_to_gastrulation.czi,czi,uint16,1,2,2048,2048,1,0.0974884033203125,0.0974884033203125,,199.65625,199.65625,,10.257630302081703
3_3_nc_12_to_gastrulation.czi,czi,uint16,1,2,2048,2048,1,0.10398763020833326,0.10398763020833326,,212.96666666666653,212.96666666666653,,9.616528408201603
4_4_Embryo_1_nc12-gastrulation.czi,czi,uint16,1,2,2048,2048,1,0.10398763020833326,0.10398763020833326,,212.96666666666653,212.96666666666653,,9.616528408201603
5_5_Embryo_2_nc11-gastrulation.czi,czi,uint16,1,2,2048,2048,1,0.10398763020833326,0.10398763020833326,,212.96666666666653,212.96666666666653,,9.616528408201603
6_2021_04_06.lif,lif,uint16,5,1,1024,1024,1,0.5681818181818181,0.5681818181818181,,581.8181818181818,581.8181818181818,,1.7600000000000002
7_2022_03_18.lif,lif,uint16,4,1,1024,1024,1,0.5213080156402737,0.5213080156402737,,533.8194080156403,533.8194080156403,,1.91825172450455
8_1_embryo_1_nc10-gastrulation.czi,czi,uint16,1,2,1024,1024,1,0.18569219680059526,0.18569219680059526,,190.14880952380955,190.14880952380955,,5.385255908592893
9_2_embryo_1_nc10-gastrulation.czi,czi,uint16,1,2,1024,1024,1,0.18569219680059526,0.18569219680059526,,190.14880952380955,190.14880952380955,,5.385255908592893
10_3_embryo_1_nc12-gastrulation.czi,czi,uint16,1,2,1024,1024,1,0.18569219680059526,0.18569219680059526,,190.14880952380955,190.14880952380955,,5.385255908592893
11_4_embryo_1_nc10-nc14.czi,czi,uint16,1,2,1024,1024,1,0.18569219680059526,0.18569219680059526,,190.14880952380955,190.14880952380955,,5.385255908592893
12_5_embryo_1_nc10-nc14.czi,czi,uint16,1,2,1024,1024,1,0.18569219680059526,0.18569219680059526,,190.14880952380955,190.14880952380955,,5.385255908592893
